Rank,Ticker,Sector,Industry,Universe,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
2054,HK.01706,建築及建築材料,建築,N/A,-166.83,12,6,7,5
2055,HK.08007,公用事業,燃氣公用事業,N/A,-166.89,12,13,26,8
2056,HK.00124,地產,中國房地產,N/A,-167.69,12,63,45,89
2057,HK.08337,科技,電訊服務,N/A,-168.55,12,11,0,0
2058,HK.02002,工業,造紙、印刷及包裝,N/A,-168.62,12,12,8,40
2059,HK.02289,保健/生物科技,製藥,N/A,-169.04,12,15,45,17
2060,HK.02221,建築及建築材料,建築,N/A,-169.05,12,13,6,3
2061,HK.01681,保健/生物科技,製藥,N/A,-170.33,12,29,35,60
2062,HK.00902,公用事業,電力公用事業,N/A,-170.58,12,51,10,15
2063,HK.01597,工業,工業機械及設備,N/A,-170.62,12,14,17,17
2064,HK.07348,其他,基金,N/A,-171.14,12,11,25,44
2065,HK.07336,其他,基金,N/A,-171.32,12,13,24,54
2066,HK.00050,地產,地產投資,N/A,-172.39,12,9,12,67
2067,HK.00107,基建,公路基建,N/A,-174.57,12,19,23,39
2068,HK.09939,保健/生物科技,生物科技,N/A,-175.03,12,99,98,3
2069,HK.07333,其他,基金,N/A,-175.43,12,11,24,45
2070,HK.00329,金融證券,證券及經紀業,N/A,-175.68,12,23,17,8
2071,HK.07373,其他,基金,N/A,-175.84,12,15,41,64
2072,HK.00159,金屬/採礦,金屬採礦及相關貿易,N/A,-175.98,12,10,7,6
2073,HK.08317,金融證券,其它綜合性金融服務,N/A,-176.99,12,15,61,90
2074,HK.00293,航空,航空服務,N/A,-177.28,12,12,50,27
2075,HK.08402,建築及建築材料,建築,N/A,-177.78,12,7,1,0
2076,HK.00612,金融證券,投資控股及資產管理,N/A,-180.07,12,7,10,30
2077,HK.00228,石油化工,石油/燃氣勘探,N/A,-183.48,11,8,15,14
2078,HK.01397,工業,環保產品及服務,N/A,-184.75,11,6,8,28
2079,HK.08269,紡織/服飾製造,紡織及成衣,N/A,-185.87,11,8,7,28
2080,HK.00076,電子,電器部件及設備,N/A,-186.09,11,6,3,11
2081,HK.00844,紡織/服飾製造,紡織及成衣,N/A,-186.65,11,50,38,70
2082,HK.00611,公用事業,環保公用事業,N/A,-189.24,11,55,36,6
2083,HK.06988,影視/傳媒,廣告,N/A,-189.37,11,53,66,94
2084,HK.00851,金融證券,證券及經紀業,N/A,-190.3,11,15,63,11
2085,HK.07362,其他,基金,N/A,-190.53,11,11,20,40
2086,HK.02683,紡織/服飾製造,其他紡織及成衣,N/A,-190.63,11,11,8,35
2087,HK.00974,零售/貿易,其他零售,N/A,-190.73,11,12,24,59
2088,HK.02669,地產,物業管理及代理,N/A,-191.08,11,6,10,33
2089,HK.08118,工業,家居耐用消費品,N/A,-191.35,11,4,5,90
2090,HK.01461,金融證券,證券及經紀業,N/A,-191.45,11,10,20,40
2091,HK.03678,金融證券,證券及經紀業,N/A,-191.82,11,7,14,24
2092,HK.02068,建築及建築材料,建築,N/A,-191.97,11,8,8,10
2093,HK.01277,金屬/採礦,煤炭開採及相關貿易,N/A,-192.73,11,17,42,10
2094,HK.03623,金融證券,消費信貸及貸款融資,N/A,-193.33,11,44,18,61
2095,HK.01751,建築及建築材料,建築,N/A,-193.85,11,15,14,6
2096,HK.00871,建築及建築材料,建築,N/A,-193.99,11,53,60,38
2097,HK.08017,金融證券,其它綜合性金融服務,N/A,-194.89,11,4,5,6
2098,HK.00985,金融證券,投資控股及資產管理,N/A,-195.19,11,10,9,82
2099,HK.08042,其他,綜合支援服務,N/A,-195.32,11,13,10,19
2100,HK.03709,紡織/服飾製造,紡織及成衣,N/A,-196.29,11,10,28,34
2101,HK.00120,地產,中國房地產,N/A,-197.19,10,13,19,78
2102,HK.01702,保健/生物科技,化肥與農用藥劑,N/A,-197.49,10,12,9,30
2103,HK.01091,金屬/採礦,金屬採礦及相關貿易,N/A,-197.74,10,5,8,3
2104,HK.08098,金融證券,證券及經紀業,N/A,-198.02,10,19,36,27
2105,HK.08033,科技,軟件及資訊科技顧問,N/A,-198.2,10,19,37,29
2106,HK.01258,金屬/採礦,金屬採礦及相關貿易,N/A,-198.32,10,10,45,18
2107,HK.01672,保健/生物科技,生物科技,N/A,-198.86,10,3,8,65
2108,HK.01226,金融證券,投資控股及資產管理,N/A,-199.26,10,47,6,1
2109,HK.03363,工業,造紙、印刷及包裝,N/A,-199.61,10,48,27,31
2110,HK.08379,科技,電腦及周邊產品,N/A,-200.88,10,14,3,19
2111,HK.00556,工業,環保產品及服務,N/A,-200.99,10,8,8,7
2112,HK.01361,紡織/服飾製造,體育用品,N/A,-202.16,10,10,6,3
2113,HK.01368,紡織/服飾製造,體育用品,N/A,-202.42,10,6,4,4
2114,HK.01142,金屬/採礦,金屬採礦及相關貿易,N/A,-202.52,10,14,42,13
2115,HK.02155,工業,工業機械及設備,N/A,-203.63,10,4,4,3
2116,HK.01127,工業,造紙、印刷及包裝,N/A,-204.46,10,13,18,59
2117,HK.01408,建築及建築材料,建築,N/A,-206.6,10,65,84,90
2118,HK.01962,工業,個人及家居用品,N/A,-206.61,10,7,12,33
2119,HK.01401,科技,綜合科技,N/A,-207.46,10,11,27,33
2120,HK.00829,食品/飲料製造,包裝食品與肉類,N/A,-207.62,10,11,23,25
2121,HK.00716,物流運輸,海港與服務,N/A,-211.01,10,8,8,11
2122,HK.00688,地產,中國房地產,N/A,-211.58,10,9,10,47
2123,HK.06128,金屬/採礦,金屬採礦及相關貿易,N/A,-212.87,10,3,10,86
2124,HK.08313,綜合企業,綜合企業,N/A,-213.41,10,18,92,85
2125,HK.00831,零售/貿易,其他零售,N/A,-214.17,9,8,23,30
2126,HK.00389,食品/飲料製造,飲品,N/A,-214.47,9,18,40,16
2127,HK.01034,建築及建築材料,建築,N/A,-214.55,9,13,4,1
2128,HK.08217,建築及建築材料,建築,N/A,-215.14,9,8,10,3
2129,HK.01631,工業,造紙、印刷及包裝,N/A,-217.04,9,8,4,2
2130,HK.08279,飲食/酒店/旅遊,賭場與賭博,N/A,-217.92,9,9,79,24
2131,HK.01527,工業,環保產品及服務,N/A,-219.56,9,8,61,26
2132,HK.01138,物流運輸,海運,N/A,-220.17,9,21,66,25
2133,HK.02169,基建,鐵路基建,N/A,-221.22,9,7,8,32
2134,HK.08081,科技,軟件及資訊科技顧問,N/A,-221.83,9,21,21,4
2135,HK.01867,建築及建築材料,建築,N/A,-222.37,9,7,4,3
2136,HK.01001,建築及建築材料,建築材料,N/A,-224.83,9,10,6,16
2137,HK.01385,科技,半導體,N/A,-225.35,9,9,10,15
2138,HK.01855,建築及建築材料,建築,N/A,-225.57,9,13,12,44
2139,HK.00397,金融證券,證券及經紀業,N/A,-230.61,9,9,13,6
2140,HK.01085,科技,電訊及網絡器材,N/A,-230.72,9,6,6,13
2141,HK.06928,工業,汽車,N/A,-230.86,9,10,2,2
2142,HK.00935,物流運輸,海港與服務,N/A,-230.98,9,9,10,7
2143,HK.01798,公用事業,環保公用事業,N/A,-231.9,9,7,8,4
2144,HK.02025,工業,汽車,N/A,-231.91,9,7,30,66
2145,HK.02343,物流運輸,海運,N/A,-232.44,9,6,14,5
2146,HK.00995,基建,公路基建,N/A,-233.86,9,7,10,57
2147,HK.02132,建築及建築材料,建築,N/A,-235.63,9,8,10,12
2148,HK.01908,地產,中國房地產,N/A,-236.82,8,16,22,34
2149,HK.00166,金屬/採礦,金屬採礦及相關貿易,N/A,-240.0,8,8,85,12
2150,HK.02203,科技,半導體,N/A,-240.84,8,73,71,81
2151,HK.06063,建築及建築材料,建築,N/A,-242.71,8,18,91,77
2152,HK.01205,金屬/採礦,金屬採礦及相關貿易,N/A,-243.3,8,9,16,7
2153,HK.08622,保健/生物科技,生物科技,N/A,-244.54,8,6,4,3
2154,HK.01523,科技,電訊及網絡器材,N/A,-245.31,8,6,3,4
2155,HK.00883,石油化工,綜合石油與燃氣,N/A,-247.22,8,10,17,34
2156,HK.07552,其他,基金,N/A,-247.73,8,6,8,33
2157,HK.02312,金融證券,投資控股及資產管理,N/A,-251.61,8,16,4,1
2158,HK.01196,工業,環保產品及服務,N/A,-253.27,8,35,17,6
2159,HK.02383,影視/傳媒,廣告,N/A,-254.19,8,5,5,60
2160,HK.02212,金屬/採礦,金屬採礦及相關貿易,N/A,-255.97,8,14,11,8
2161,HK.07588,其他,基金,N/A,-256.18,8,7,13,35
2162,HK.08223,金融證券,消費信貸及貸款融資,N/A,-262.52,8,5,5,7
2163,HK.02199,紡織/服飾製造,紡織及成衣,N/A,-263.06,8,5,2,19
2164,HK.08659,工業,造紙、印刷及包裝,N/A,-265.59,8,10,17,42
2165,HK.06829,建築及建築材料,建築,N/A,-265.93,8,5,5,20
2166,HK.00695,建築及建築材料,建築材料,N/A,-266.69,8,5,5,3
2167,HK.00643,紡織/服飾製造,紡織及成衣,N/A,-266.95,8,15,10,13
2168,HK.00036,地產,地產投資,N/A,-267.27,8,18,74,59
2169,HK.01936,食品/飲料製造,農產品,N/A,-268.66,8,9,15,48
2170,HK.08027,其他,綜合支援服務,N/A,-268.84,8,6,9,5
2171,HK.00751,電子,電子消費品,N/A,-269.89,8,7,3,35
2172,HK.06878,金融證券,消費信貸及貸款融資,N/A,-275.17,7,17,5,6
2173,HK.01967,電子,電器部件及設備,N/A,-276.0,7,8,4,6
2174,HK.01395,公用事業,水公用事業,N/A,-278.35,7,9,18,19
2175,HK.01891,工業,環保產品及服務,N/A,-278.44,7,7,11,15
2176,HK.08018,科技,軟件及資訊科技顧問,N/A,-278.55,7,2,1,1
2177,HK.00639,金屬/採礦,煤炭開採及相關貿易,N/A,-279.06,7,9,21,27
2178,HK.02099,金屬/採礦,金屬採礦及相關貿易,N/A,-279.71,7,7,14,8
2179,HK.00442,零售/貿易,鐘錶珠寶,N/A,-280.2,7,7,5,4
2180,HK.01247,紡織/服飾製造,紡織及成衣,N/A,-281.77,7,80,69,24
2181,HK.01866,保健/生物科技,化肥與農用藥劑,N/A,-283.16,7,5,9,7
2182,HK.08268,建築及建築材料,建築,N/A,-285.33,7,6,4,5
2183,HK.00033,工業,玩具,N/A,-285.83,7,11,14,39
2184,HK.01198,工業,家居耐用消費品,N/A,-289.78,7,5,5,13
2185,HK.09979,地產,物業管理及代理,N/A,-289.9,7,4,7,37
2186,HK.01533,食品/飲料製造,飲品,N/A,-291.31,7,7,7,48
2187,HK.01046,影視/傳媒,影視娛樂,N/A,-293.87,7,24,11,61
2188,HK.01088,金屬/採礦,煤炭開採及相關貿易,N/A,-305.0,7,8,12,23
2189,HK.00531,工業,家居耐用消費品,N/A,-308.84,7,5,16,62
2190,HK.00546,食品/飲料製造,綜合飲食製造,N/A,-310.33,7,14,20,55
2191,HK.08428,飲食/酒店/旅遊,食肆,N/A,-311.15,7,12,2,1
2192,HK.08249,科技,軟件及資訊科技顧問,N/A,-311.24,7,8,48,8
2193,HK.08448,工業,造紙、印刷及包裝,N/A,-313.12,7,55,78,89
2194,HK.00007,地產,中國房地產,N/A,-317.97,7,60,73,45
2195,HK.01898,金屬/採礦,煤炭開採及相關貿易,N/A,-319.08,6,10,14,6
2196,HK.02086,電子,電器部件及設備,N/A,-319.94,6,57,9,11
2197,HK.00976,金屬/採礦,金屬採礦及相關貿易,N/A,-320.88,6,12,7,2
2198,HK.01741,建築及建築材料,建築,N/A,-321.35,6,4,11,33
2199,HK.08603,零售/貿易,美容護膚,N/A,-321.36,6,10,8,10
2200,HK.08286,科技,電訊及網絡器材,N/A,-322.16,6,5,12,10
2201,HK.08072,金融證券,其它綜合性金融服務,N/A,-322.47,6,6,5,3
2202,HK.00776,工業,家居耐用消費品,N/A,-328.75,6,5,3,6
2203,HK.01415,電子,電器部件及設備,N/A,-334.9,6,10,4,24
2204,HK.03311,建築及建築材料,建築,N/A,-336.89,6,6,6,9
2205,HK.00343,影視/傳媒,廣告,N/A,-337.72,6,7,2,1
2206,HK.01935,其他,綜合支援服務,N/A,-338.1,6,10,12,93
2207,HK.00401,保健/生物科技,製藥,N/A,-338.93,6,9,6,36
2208,HK.01795,紡織/服飾製造,紡織及成衣,N/A,-339.28,6,5,12,43
2209,HK.01025,紡織/服飾製造,紡織及成衣,N/A,-340.66,6,11,6,6
2210,HK.01639,電子,電器部件及設備,N/A,-341.78,6,5,5,22
2211,HK.06036,電子,電器部件及設備,N/A,-342.72,6,8,14,15
2212,HK.08427,建築及建築材料,建築材料,N/A,-344.2,6,4,4,1
2213,HK.01726,建築及建築材料,建築,N/A,-346.03,6,4,1,15
2214,HK.08495,飲食/酒店/旅遊,食肆,N/A,-349.54,6,8,8,4
2215,HK.08205,科技,軟件及資訊科技顧問,N/A,-349.66,6,8,15,19
2216,HK.00994,建築及建築材料,建築,N/A,-351.81,6,4,1,33
2217,HK.00187,工業,工業機械及設備,N/A,-355.89,6,4,4,22
2218,HK.00838,工業,工業機械及設備,N/A,-355.94,6,7,4,64
2219,HK.03175,其他,交易所買賣基金,N/A,-356.08,5,4,10,9
2220,HK.08445,建築及建築材料,建築,N/A,-356.96,5,12,3,2
2221,HK.00316,物流運輸,海運,N/A,-358.81,5,4,7,8
2222,HK.08203,金屬/採礦,煤炭開採及相關貿易,N/A,-358.91,5,3,4,3
2223,HK.01263,科技,電腦及周邊產品,N/A,-361.06,5,3,3,2
2224,HK.08501,建築及建築材料,建築,N/A,-362.76,5,4,3,13
2225,HK.03097,其他,交易所買賣基金,N/A,-363.85,5,3,11,10
2226,HK.02660,科技,軟件及資訊科技顧問,N/A,-366.33,5,8,15,39
2227,HK.01721,金屬/採礦,金屬採礦及相關貿易,N/A,-369.09,5,3,7,38
2228,HK.01419,保健/生物科技,醫療保健服務,N/A,-369.53,5,5,11,8
2229,HK.01969,其他,綜合支援服務,N/A,-369.73,5,7,9,52
2230,HK.01058,紡織/服飾製造,其他紡織及成衣,N/A,-370.5,5,3,3,1
2231,HK.01305,工業,家居耐用消費品,N/A,-371.62,5,5,5,6
2232,HK.00898,地產,中國房地產,N/A,-372.37,5,6,3,2
2233,HK.00719,保健/生物科技,製藥,N/A,-374.12,5,36,19,58
2234,HK.01676,食品/飲料製造,包裝食品與肉類,N/A,-376.18,5,10,75,43
2235,HK.00498,建築及建築材料,建築,N/A,-381.47,5,88,99,32
2236,HK.08238,影視/傳媒,廣告,N/A,-381.83,5,4,84,50
2237,HK.00948,食品/飲料製造,飲品,N/A,-383.19,5,6,6,12
2238,HK.01182,金屬/採礦,金屬採礦及相關貿易,N/A,-385.56,5,1,3,2
2239,HK.08646,工業,工業用品,N/A,-391.37,5,21,18,81
2240,HK.09933,石油化工,綜合化工產品,N/A,-397.24,5,3,4,8
2241,HK.08047,其他,綜合支援服務,N/A,-399.45,5,2,6,99
2242,HK.01782,科技,軟件及資訊科技顧問,N/A,-402.12,5,2,5,89
2243,HK.00274,金屬/採礦,金屬採礦及相關貿易,N/A,-402.31,4,3,2,1
2244,HK.08456,工業,個人及家居用品,N/A,-406.07,4,0,1,0
2245,HK.08368,影視/傳媒,影視娛樂,N/A,-406.48,4,4,1,0
2246,HK.01563,金融證券,消費信貸及貸款融資,N/A,-410.36,4,3,6,5
2247,HK.01539,工業,家居耐用消費品,N/A,-413.91,4,12,1,4
2248,HK.01171,金屬/採礦,煤炭開採及相關貿易,N/A,-419.14,4,3,4,8
2249,HK.08159,科技,電腦及周邊產品,N/A,-426.52,4,3,41,22
2250,HK.00412,金融證券,消費信貸及貸款融資,N/A,-433.76,4,7,7,17
2251,HK.01942,零售/貿易,成衣及服飾零售,N/A,-437.3,4,13,11,22
2252,HK.08395,工業,家居耐用消費品,N/A,-445.36,4,6,3,4
2253,HK.00482,電子,電子消費品,N/A,-453.69,4,1,1,0
2254,HK.01345,保健/生物科技,製藥,N/A,-455.28,4,3,3,23
2255,HK.00279,金融證券,證券及經紀業,N/A,-463.88,4,5,2,50
2256,HK.01498,保健/生物科技,醫療保健設備及用品,N/A,-469.22,4,8,20,24
2257,HK.01327,零售/貿易,鐘錶珠寶,N/A,-472.73,4,5,3,2
2258,HK.01626,工業,造紙、印刷及包裝,N/A,-473.87,4,4,7,13
2259,HK.01783,建築及建築材料,建築,N/A,-479.77,4,3,51,7
2260,HK.08349,工業,工業用品,N/A,-480.18,4,2,4,2
2261,HK.01172,工業,造紙、印刷及包裝,N/A,-482.57,4,42,62,76
2262,HK.02187,建築及建築材料,建築材料,N/A,-484.7,4,3,11,20
2263,HK.00975,金屬/採礦,煤炭開採及相關貿易,N/A,-488.92,4,12,77,4
2264,HK.01961,科技,軟件及資訊科技顧問,N/A,-492.27,4,2,7,62
2265,HK.08406,工業,個人及家居用品,N/A,-493.08,4,1,1,0
2266,HK.00123,地產,中國房地產,N/A,-501.59,3,2,2,2
2267,HK.00988,物流運輸,航空貨運與物流,N/A,-509.09,3,1,3,2
2268,HK.01854,食品/飲料製造,包裝食品與肉類,N/A,-512.53,3,4,2,4
2269,HK.01943,建築及建築材料,建築,N/A,-524.36,3,2,2,4
2270,HK.08112,影視/傳媒,廣告,N/A,-526.48,3,10,5,18
2271,HK.01303,金屬/採礦,金屬採礦及相關貿易,N/A,-529.66,3,2,52,27
2272,HK.00827,保健/生物科技,化肥與農用藥劑,N/A,-545.0,3,3,1,8
2273,HK.08245,科技,電訊及網絡器材,N/A,-545.59,3,14,59,69
2274,HK.00913,金融證券,投資控股及資產管理,N/A,-548.47,3,2,1,9
2275,HK.03878,建築及建築材料,建築,N/A,-554.67,3,7,9,4
2276,HK.01623,石油化工,石油/燃氣設備及服務,N/A,-558.2,3,8,19,14
2277,HK.00918,紡織/服飾製造,紡織及成衣,N/A,-566.24,3,3,3,2
2278,HK.03668,金屬/採礦,煤炭開採及相關貿易,N/A,-571.89,3,4,9,10
2279,HK.00195,金屬/採礦,金屬採礦及相關貿易,N/A,-582.14,3,4,53,46
2280,HK.01796,建築及建築材料,建築,N/A,-584.23,3,3,3,7
2281,HK.02195,建築及建築材料,建築,N/A,-585.59,3,49,71,63
2282,HK.01084,食品/飲料製造,綜合飲食製造,N/A,-587.7,3,10,34,45
2283,HK.00609,石油化工,綜合化工產品,N/A,-588.43,3,5,6,9
2284,HK.08121,影視/傳媒,廣告,N/A,-589.13,3,1,1,0
2285,HK.01063,科技,電訊及網絡器材,N/A,-593.1,3,4,3,2
2286,HK.00164,影視/傳媒,廣告,N/A,-613.53,3,1,1,1
2287,HK.08617,電子,電器部件及設備,N/A,-631.67,3,3,39,29
2288,HK.00223,其他,綜合支援服務,N/A,-633.64,3,6,94,92
2289,HK.06833,保健/生物科技,製藥,N/A,-634.3,3,2,1,5
2290,HK.08011,石油化工,綜合石油與燃氣,N/A,-635.1,2,5,3,93
2291,HK.00471,科技,電訊服務,N/A,-639.64,2,1,2,12
2292,HK.03948,金屬/採礦,煤炭開採及相關貿易,N/A,-639.8,2,10,17,22
2293,HK.03773,科技,綜合科技,N/A,-649.32,2,4,6,27
2294,HK.00513,零售/貿易,鐘錶珠寶,N/A,-654.15,2,4,1,1
2295,HK.00875,食品/飲料製造,農產品,N/A,-660.51,2,2,4,6
2296,HK.02012,石油化工,綜合石油與燃氣,N/A,-665.88,2,1,9,7
2297,HK.02882,零售/貿易,鐘錶珠寶,N/A,-670.47,2,6,0,0
2298,HK.08163,金融證券,消費信貸及貸款融資,N/A,-710.95,2,1,0,1
2299,HK.08365,金融證券,其它綜合性金融服務,N/A,-713.21,2,1,3,13
2300,HK.08003,影視/傳媒,廣告,N/A,-713.73,2,1,1,0
2301,HK.01393,金屬/採礦,煤炭開採及相關貿易,N/A,-727.8,2,2,2,2
2302,HK.01296,工業,環保產品及服務,N/A,-746.15,2,2,2,5
2303,HK.03997,科技,綜合科技,N/A,-751.12,2,3,9,14
2304,HK.06108,保健/生物科技,製藥,N/A,-754.6,2,98,35,50
2305,HK.00866,金屬/採礦,煤炭開採及相關貿易,N/A,-777.1,2,2,6,6
2306,HK.01481,工業,造紙、印刷及包裝,N/A,-784.52,2,2,1,65
2307,HK.01011,保健/生物科技,製藥,N/A,-785.61,2,67,88,91
2308,HK.08166,食品/飲料製造,農產品,N/A,-850.12,2,2,0,16
2309,HK.01725,電子,電器部件及設備,N/A,-858.8,2,7,0,0
2310,HK.00663,綜合企業,綜合企業,N/A,-925.99,2,0,0,94
2311,HK.06933,科技,軟件及資訊科技顧問,N/A,-926.23,2,3,2,28
2312,HK.01735,建築及建築材料,建築,N/A,-949.83,2,2,2,6
2313,HK.01937,建築及建築材料,建築材料,N/A,-962.09,1,0,0,0
2314,HK.08196,公用事業,水公用事業,N/A,-985.09,1,3,3,79
2315,HK.01729,科技,電訊及網絡器材,N/A,-998.28,1,2,4,20
2316,HK.00145,工業,環保產品及服務,N/A,-1000.48,1,2,56,52
2317,HK.01733,金屬/採礦,煤炭開採及相關貿易,N/A,-1031.17,1,1,2,3
2318,HK.08613,金融證券,其它綜合性金融服務,N/A,-1062.93,1,3,44,65
2319,HK.01094,科技,電子商貿及互聯網服務,N/A,-1112.56,1,1,0,0
2320,HK.01269,金融證券,證券及經紀業,N/A,-1139.21,1,2,3,1
2321,HK.08305,建築及建築材料,建築,N/A,-1154.54,1,1,0,2
2322,HK.08645,科技,軟件及資訊科技顧問,N/A,-1165.9,1,1,1,3
2323,HK.08375,電子,電器部件及設備,N/A,-1171.36,1,1,1,43
2324,HK.08275,建築及建築材料,建築,N/A,-1175.09,1,88,91,68
2325,HK.00185,地產,中國房地產,N/A,-1244.66,1,1,0,0
2326,HK.08331,金屬/採礦,金屬採礦及相關貿易,N/A,-1341.49,1,1,0,30
2327,HK.08131,科技,軟件及資訊科技顧問,N/A,-1405.89,1,6,30,97
2328,HK.08511,電子,電器部件及設備,N/A,-1406.92,1,2,1,28
2329,HK.08292,物流運輸,航空貨運與物流,N/A,-1417.43,1,1,0,78
2330,HK.08422,建築及建築材料,建築,N/A,-1628.92,1,96,88,92
2331,HK.08173,金屬/採礦,金屬採礦及相關貿易,N/A,-1679.44,1,0,0,0
2332,HK.03638,科技,電腦及周邊產品,N/A,-1746.09,1,99,98,88
2333,HK.02255,飲食/酒店/旅遊,酒店,N/A,-1799.24,1,1,1,2
2334,HK.08315,其他,綜合支援服務,N/A,-1840.36,1,0,0,1
2335,HK.08039,建築及建築材料,建築,N/A,-1842.66,1,1,4,6
2336,HK.08526,建築及建築材料,建築,N/A,-1909.38,1,0,47,98
2337,HK.08491,食品/飲料製造,包裝食品與肉類,N/A,-1998.81,0,0,0,0
2338,HK.00547,影視/傳媒,影視娛樂,N/A,-2298.71,0,0,0,70
2339,HK.00544,物流運輸,航空貨運與物流,N/A,-2542.02,0,85,60,37
2340,HK.08219,零售/貿易,鐘錶珠寶,N/A,-2573.02,0,1,0,94
2341,HK.01842,工業,個人及家居用品,N/A,-2752.78,0,1,7,69
2342,HK.00037,地產,中國房地產,N/A,-2941.14,0,1,37,41
2343,HK.01225,金融證券,消費信貸及貸款融資,N/A,-3037.31,0,0,94,98
2344,HK.08133,工業,造紙、印刷及包裝,N/A,-3054.88,0,0,0,72
2345,HK.08446,影視/傳媒,影視娛樂,N/A,-3406.69,0,0,2,31
2346,HK.08341,建築及建築材料,建築,N/A,-3431.16,0,67,90,93
2347,HK.08057,綜合企業,綜合企業,N/A,-4269.07,0,0,89,37
2348,HK.02112,金屬/採礦,金屬採礦及相關貿易,N/A,-4322.65,0,0,12,73
2349,HK.01087,科技,軟件及資訊科技顧問,N/A,-4350.07,0,0,0,0
2350,HK.08213,飲食/酒店/旅遊,食肆,N/A,-4743.79,0,0,1,74
2351,HK.00646,公用事業,水公用事業,N/A,-4878.4,0,0,0,0
2352,HK.07568,其他,基金,N/A,-4911.9,0,0,42,89
2353,HK.00572,金融證券,投資控股及資產管理,N/A,-5141.83,0,0,98,91
2354,HK.01141,金融證券,證券及經紀業,N/A,-5165.14,0,0,0,78
2355,HK.08191,工業,林業,N/A,-5350.63,0,0,97,95
2356,HK.01808,科技,軟件及資訊科技顧問,N/A,-5570.12,0,98,97,92
2357,HK.01051,金融證券,消費信貸及貸款融資,N/A,-5733.48,0,0,0,0
2358,HK.08403,其他,綜合支援服務,N/A,-5823.5,0,0,0,0
2359,HK.00456,地產,中國房地產,N/A,-13011.37,0,98,91,79
2360,HK.08516,建築及建築材料,建築,N/A,-13369.97,0,0,0,98
